skull,card_count,mean_appearance_count,total_appearance_count,total_acquired_count,mean_acquired_given_appearance_rate
1,18,30.5,549,143,0.2633307968505961
2,17,29.529411764705884,502,143,0.28697670039324913
3,17,31.823529411764707,541,280,0.5204820066387019

card_id,suit,rank,skull,appearance_count,player_reveal_count,ai_reveal_count,player_acquired_count,ai_acquired_count,unacquired_field_removal_count,overflow_removal_count,visibility_eviction_count,selected_as_1_card_count,selected_as_2_card_count,appearance_rate_per_game,player_reveal_rate_per_game,ai_reveal_rate_per_game,total_acquired_count,acquired_given_appearance_rate,appearance_minus_mean
33,3,player,left,1,1,C7,1,S2,2,1
33,4,ai,right,1,1,D2,1,HK,2,2
33,6,player,right,1,2,C8|H8,0,,3,2
34,1,player,right,1,1,SJ,1,CQ,1,0
34,2,ai,right,1,1,CA,1,D5,1,1
34,3,ai,right,2,1,C10,1,C7,1,2
34,6,ai,right,1,2,SQ|S9,1,CJ,1,3
35,2,player,left,2,2,DQ|H3,2,DA|D5,1,0
35,4,ai,right,1,2,HA|D7,0,,1,1
35,5,player,right,1,1,SJ,1,H2,2,1
35,7,ai,right,1,2,HK|S10,0,,2,2
35,11,ai,right,2,2,S7|H5,2,D9|DK,2,3
36,2,player,right,2,2,C9|H5,2,H10|D9,1,0
36,3,ai,right,1,1,C7,1,D7,1,1
36,4,player,right,1,1,C10,1,S9,2,1
36,5,ai,right,2,1,S3,1,CA,2,2
36,7,ai,left,1,2,CJ|S2,0,,2,3
37,2,ai,right,1,2,C8|DA,0,,0,1
37,3,player,right,1,1,S4,1,CQ,1,1
37,4,player,left,1,1,H9,1,H3,2,1
37,5,ai,left,2,1,C3,1,HQ,2,2
37,8,player,left,1,1,SK,1,S5,3,2
38,2,player,left,1,2,D5|H8,2,S2|H3,1,0
38,3,ai,left,1,1,S4,1,C2,1,1
38,4,player,right,1,1,S6,1,CJ,2,1
38,5,ai,left,1,1,DJ,1,HA,2,2
38,6,ai,left,2,1,S3,1,CK,2,3
39,1,player,left,1,1,C3,1,C9,1,0
39,3,ai,right,1,2,S8|CJ,2,S2|H4,1,1
39,5,ai,right,1,2,S9|CQ,0,,1,2
39,6,ai,left,1,1,D2,1,DK,1,3
40,4,ai,right,2,2,SA|CJ,2,D10|S5,0,1
40,5,ai,left,1,1,H6,1,HJ,0,2
40,6,player,left,1,1,C3,1,SQ,1,2
40,7,ai,left,1,1,DJ,1,D4,1,3
41,2,ai,right,1,2,H8|D7,0,,0,1
41,9,player,left,1,1,D2,1,CQ,1,1
41,10,player,left,2,1,D3,1,C7,2,1
41,12,player,left,1,2,C5|D8,0,,3,1
42,1,player,right,1,1,S4,1,D7,1,0
42,2,ai,right,2,1,D2,1,CA,1,1
42,6,ai,left,1,2,C4|S7,2,SA|CQ,1,2
42,7,ai,right,1,1,S3,1,S8,1,3
43,1,player,left,1,1,SJ,1,DK,1,0
43,2,player,left,1,1,D3,1,H4,2,0
43,5,player,right,1,1,CK,1,H3,3,0
44,1,ai,left,1,1,S6,1,D9,0,1
44,2,ai,right,1,1,SJ,1,H3,0,2
44,5,ai,right,1,1,DJ,1,SA,0,3
45,3,ai,left,2,2,HK|H2,2,S7|D6,0,1
45,4,ai,left,1,1,C3,1,D4,0,2
45,5,player,left,1,1,SJ,1,D10,1,2
45,11,ai,left,1,2,C4|S2,0,,1,3
46,3,player,right,1,1,C7,1,HK,1,0
46,4,player,left,1,1,H6,1,DA,2,0
46,8,player,right,1,2,D4|S7,0,,3,0
47,1,player,right,1,1,D3,1,C5,1,0
47,2,ai,right,1,1,C7,1,D10,1,1
47,3,ai,left,1,1,S6,1,D9,1,2
47,4,ai,right,1,1,H9,1,DK,1,3
48,1,player,left,1,1,D2,1,SQ,1,0
48,2,ai,left,2,1,DJ,1,CK,1,1
48,5,ai,right,1,1,SJ,0,,1,2
48,11,player,right,1,2,D8|D9,2,HA|DK,2,2
48,14,ai,left,1,1,S6,1,S9,2,3
49,1,ai,right,1,1,C3,1,H3,0,1
49,2,ai,left,1,1,SJ,1,S10,0,2
49,5,player,right,1,1,HQ,1,C4,1,2
49,6,player,left,1,1,CA,1,HK,2,2
49,8,ai,right,1,2,D6|H8,2,DA|D8,2,3
50,1,ai,left,1,1,D3,1,HK,0,1
50,3,player,right,1,2,S9|SA,0,,1,1
50,6,player,left,1,1,DJ,1,S2,2,1
50,8,ai,left,1,2,HA|D9,2,C9|CQ,2,2
50,9,ai,right,2,1,H9,1,S4,2,3
51,3,ai,right,2,2,DK|D6,1,C3,0,1
51,5,player,left,1,2,DQ|S7,0,,1,1
51,9,player,left,1,1,S3,0,,2,1
51,10,ai,right,1,1,C7,1,HK,2,2
51,11,ai,left,2,1,CA,1,SJ,2,3
52,1,ai,right,1,1,SK,1,H10,0,1
52,3,ai,left,2,2,H4|HJ,2,D7|S7,0,2
52,5,player,right,1,2,CJ|CQ,2,SA|DK,1,2
52,6,ai,right,1,1,D3,1,H8,1,3
53,2,player,right,1,2,D5|D8,0,,1,0
53,3,player,left,1,1,SJ,1,C9,2,0
53,5,player,right,1,2,D6|S7,0,,3,0
54,3,player,right,1,1,S3,2,C9|HK,1,0
54,6,player,left,2,2,S7|H5,1,S4,2,0
54,7,ai,right,1,1,H6,1,S10,2,1
54,8,player,left,1,1,CK,1,DQ,3,1
55,1,player,right,1,1,C7,1,CJ,1,0
55,3,player,right,1,2,C5|H8,2,HK|DK,2,0
55,4,player,left,1,1,H7,1,S8,3,0
56,1,player,right,2,1,C10,1,S3,1,0
56,3,ai,left,2,2,D10|H3,2,S10|SA,1,1
56,4,ai,right,2,1,S4,1,SJ,1,2
56,5,player,right,1,1,C7,1,C2,2,2
56,6,ai,left,1,1,DJ,1,C4,2,3
57,1,player,left,1,1,SK,1,SA,1,0
57,2,ai,right,1,1,C7,1,DQ,1,1
57,3,ai,left,1,1,S3,1,D10,1,2
57,5,ai,left,1,2,HJ|S7,2,H4|C9,1,3
58,1,player,left,1,1,HQ,1,H10,1,0
58,2,player,left,2,1,C3,1,D3,2,0
